WEEK,COUNTY,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,CENTROID_LATITUDE,CENTROID_LONGITUDE,YEAR,COUNTY_POPULATION,COUNTY_RAW_DENSITY,COUNTY_AREA_KM2,COUNTY_WEIGHTED_DENSITY,COUNTY_URBAN_CORE_DENSITY,IS_ELECTION_YEAR,LOG_COUNTY_POPULATION,LOG_COUNTY_RAW_DENSITY,EVENTS_ROLLING_4W
2023-08-19,Muranga,Protests,Peaceful protest,3,0,8843,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,4
2023-08-19,Muranga,Riots,Mob violence,1,1,2930,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,6
2023-09-02,Muranga,Protests,Peaceful protest,1,0,1226,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,6
2023-09-02,Muranga,Strategic developments,Arrests,1,0,0,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,6
2023-09-16,Muranga,Protests,Peaceful protest,2,0,14368,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,6
2023-09-30,Muranga,Protests,Peaceful protest,1,0,8455,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,5
2023-10-14,Muranga,Protests,Protest with intervention,1,0,4909,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,5
2023-11-04,Muranga,Protests,Peaceful protest,1,0,3934,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,5
2023-11-18,Muranga,Strategic developments,Change to group/activity,1,0,0,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,5
2023-11-25,Muranga,Protests,Peaceful protest,1,0,8455,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,4
2023-11-25,Muranga,Riots,Mob violence,2,2,16451,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,4
2023-12-16,Muranga,Violence against civilians,Attack,1,4,42946,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,5
2023-12-23,Muranga,Riots,Mob violence,1,1,4209,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,5
2023-12-30,Muranga,Protests,Peaceful protest,1,0,2898,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,5
2023-12-30,Muranga,Riots,Mob violence,1,2,26469,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,5
2023-12-30,Muranga,Strategic developments,Arrests,1,0,0,-0.8302,37.0029,2023,1175542.173647352,465.0934757336,2698.1185890848,663.1077969376,15512.90093206,0,13.977240874188576,6.1443862057128245,4
2024-01-27,Muranga,Protests,Peaceful protest,1,0,1156,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-02-03,Muranga,Protests,Peaceful protest,2,0,12611,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-02-17,Muranga,Protests,Peaceful protest,1,0,8602,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-02-24,Muranga,Protests,Peaceful protest,1,0,4994,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-03-02,Muranga,Protests,Peaceful protest,1,0,5302,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-03-09,Muranga,Protests,Peaceful protest,1,0,2634,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-03-09,Muranga,Riots,Mob violence,1,1,26936,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-03-16,Muranga,Protests,Peaceful protest,1,0,8602,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-04-13,Muranga,Riots,Mob violence,2,0,37895,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-04-20,Muranga,Protests,Peaceful protest,1,0,8602,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-04-27,Muranga,Protests,Peaceful protest,2,0,8602,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-05-11,Muranga,Protests,Peaceful protest,1,0,8602,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,6
